COMPLIANCE DATE,REGISTRATION,TRACKED BY,MODEL,SERIAL NUMBER,TASK DESCRIPTION,ATA CODE,MFG.CODE,ITEM NUMBER,PART NUMBER REMOVED,SERIAL NUMBER REMOVED,REMOVAL REASON,ACCUMULATED MONTHS,ACCUMULATED HOURS,ACCUMULATED LANDINGS,ACCUMULATED CYCLES,PART NUMBER INSTALLED,SERIAL NUMBER INSTALLED,INSTALLED STATUS,MSN AT INSTALL,TSN AT INSTALL,LSN AT INSTALL,CSN AT INSTALL,MSO AT INSTALL,TSO AT INSTALL,LSO AT INSTALL,CSO AT INSTALL
06/14/2017,N261HC,Engine 1,PW207C,PCE-BH-0486,NO. 1 ENGINE - #30 COMPRESSOR TURBINE BLADE,72,10454,1135,,,,,,,,3045921-01,HWTH6806,,0,0.00,,0.00,0,0.00,,0.00
06/14/2017,N261HC,Engine 1,PW207C,PCE-BH-0486,NO. 1 ENGINE - #31 COMPRESSOR TURBINE BLADE,72,10454,1130,,,,,,,,3045921-01,HWTH6813,,0,0.00,,0.00,0,0.00,,0.00
06/14/2017,N261HC,Engine 1,PW207C,PCE-BH-0486,NO. 1 ENGINE - #32 COMPRESSOR TURBINE BLADE,72,10454,1142,,,,,,,,3045921-01,HWTH9037,,0,0.00,,0.00,0,0.00,,0.00
06/14/2017,N261HC,Engine 1,PW207C,PCE-BH-0486,NO. 1 ENGINE - #4 COMPRESSOR TURBINE BLADE,72,10454,1120,,,,,,,,3045921-01,HWTH6569,,0,0.00,,0.00,0,0.00,,0.00
06/14/2017,N261HC,Engine 1,PW207C,PCE-BH-0486,NO. 1 ENGINE - #5 COMPRESSOR TURBINE BLADE,72,10454,1146,,,,,,,,3045921-01,HWTH6571,,0,0.00,,0.00,0,0.00,,0.00
06/14/2017,N261HC,Engine 1,PW207C,PCE-BH-0486,NO. 1 ENGINE - #6 COMPRESSOR TURBINE BLADE,72,10454,1117,,,,,,,,3045921-01,HWTH6573,,0,0.00,,0.00,0,0.00,,0.00
06/14/2017,N261HC,Engine 1,PW207C,PCE-BH-0486,NO. 1 ENGINE - #7 COMPRESSOR TURBINE BLADE,72,10454,1123,,,,,,,,3045921-01,HWTH6578,,0,0.00,,0.00,0,0.00,,0.00
06/14/2017,N261HC,Engine 1,PW207C,PCE-BH-0486,NO. 1 ENGINE - #8 COMPRESSOR TURBINE BLADE,72,10454,1127,,,,,,,,3045921-01,HWTH6582,,0,0.00,,0.00,0,0.00,,0.00
06/14/2017,N261HC,Engine 1,PW207C,PCE-BH-0486,NO. 1 ENGINE - #9 COMPRESSOR TURBINE BLADE,72,10454,1137,,,,,,,,3045921-01,HWTH6586,,0,0.00,,0.00,0,0.00,,0.00
06/14/2017,N261HC,Engine 1,PW207C,PCE-BH-0486,NO. 1 ENGINE - COMPRESSOR TURBINE BLADE,72,10454,1116,,,,,,,,3045921-01,HWNM4169,,,,,,,,,
